Tm,Year,age_computed_mean,age_computed_std,age_computed_min,age_computed_max,experience_mean,experience_std,experience_max,PER_mean,PER_max,PER_std,WS_sum,WS_mean,WS/48_mean,VORP_sum,VORP_mean,BPM_mean,PTS_mean,TRB_mean,AST_mean,G_mean,roster_size,nationality_diversity,avg_draft_pick,star_player_count,TEAM_ID,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
GSW,1998,28.304347826086957,5.199954393232656,23.0,46.0,5.739130434782608,3.319602814471907,12,11.104347826086956,15.5,3.220457090774194,18.1,0.7869565217391304,0.024826086956521737,-2.1,-0.09130434782608696,-3.5869565217391304,319.60869565217394,167.95652173913044,75.04347826086956,37.95652173913044,23,1,13.0,0,1610612744.0,,,,,
GSW,1999,29.153846153846153,4.862203784399174,23.0,38.0,7.615384615384615,4.891122255993703,18,12.315384615384614,16.9,4.980938023077941,21.9,1.6846153846153844,0.06684615384615385,4.0,0.3076923076923077,-2.2615384615384615,339.6923076923077,182.69230769230768,79.76923076923077,40.38461538461539,13,1,10.636363636363637,0,1610612744.0,,,,,
GSW,2000,28.333333333333332,4.565148377670208,21.0,39.0,6.458333333333333,4.791107402775221,19,11.7875,17.1,3.48179270416586,20.4,0.85,0.031875,0.3999999999999997,0.016666666666666653,-3.875,332.375,159.25,78.70833333333333,35.083333333333336,24,1,13.833333333333334,0,1610612744.0,,,,,
GSW,2001,27.45,3.456115860631015,22.0,34.0,6.0,4.46147530585589,16,10.759090909090908,24.4,6.601201845184391,17.6,0.8,0.0027727272727272726,-5.551115123125783e-17,-2.523234146875356e-18,-4.368181818181818,344.72727272727275,169.54545454545453,81.27272727272727,34.40909090909091,22,1,14.875,1,1610612744.0,,,,,
GSW,2002,27.4375,5.214962447931273,20.0,37.0,5.875,4.440345331915826,14,12.725,17.1,4.211967078060638,27.8,1.7375,0.036,3.7,0.23125,-3.28125,502.8125,239.375,106.875,52.375,16,1,10.0,0,1610612744.0,38.0,44.0,0.4629999999999999,24-17,14-27
GSW,2003,27.294117647058822,6.3616498045156575,21.0,49.0,6.764705882352941,7.5542158077849635,26,12.235294117647058,19.0,6.63522241304602,41.6,2.447058823529412,0.04,9.7,0.5705882352941176,-3.011764705882353,521.5294117647059,237.88235294117646,106.94117647058823,52.23529411764706,17,3,10.538461538461538,0,1610612744.0,37.0,45.0,0.451,27-14,10-31
GSW,2004,29.833333333333332,7.098052757001491,22.0,50.0,9.263157894736842,8.047374349322185,28,11.105263157894736,21.6,8.27489333158578,45.4,2.389473684210526,0.038789473684210526,12.100000000000001,0.636842105263158,-3.5842105263157893,448.7368421052632,209.31578947368422,100.05263157894737,44.68421052631579,19,2,11.2,2,1610612744.0,34.0,48.0,0.415,20-21,14-27
GSW,2005,28.57894736842105,7.381025143145273,19.0,51.0,8.526315789473685,8.481145238787242,30,12.910526315789474,20.4,4.4115876125447056,41.0,2.1578947368421053,0.06242105263157895,9.1,0.4789473684210526,-2.1789473684210527,481.63157894736844,207.3684210526316,106.0,47.05263157894737,19,4,11.421052631578947,1,1610612744.0,34.0,48.0,0.415,21-20,13-28
GSW,2006,27.125,7.821977584558353,20.0,52.0,7.9375,9.916106426751716,32,12.5125,19.2,3.9651607785813683,42.5,2.65625,0.0719375,9.7,0.60625,-2.0437499999999997,563.0,241.5,120.6875,57.25,16,3,11.142857142857142,0,1610612744.0,42.0,40.0,0.512,30-11,12-29
GSW,2007,27.095238095238095,6.609877169091434,21.0,53.0,7.190476190476191,9.195754714100673,34,13.547619047619047,21.0,4.858561417499941,42.1,2.0047619047619047,0.07342857142857143,10.700000000000001,0.5095238095238096,-2.2142857142857144,437.2857142857143,170.61904761904762,98.42857142857143,39.57142857142857,21,3,11.2,1,1610612744.0,48.0,34.0,0.585,27-14,21-20
GSW,2008,26.5,4.162154419500159,21.0,35.0,5.555555555555555,4.804681812592945,17,13.18235294117647,19.8,4.254884736117661,47.1,2.6166666666666667,0.08294117647058824,12.9,0.7166666666666667,-2.1055555555555556,505.8333333333333,196.72222222222223,101.83333333333333,45.888888888888886,18,5,11.642857142857142,0,1610612744.0,29.0,53.0,0.354,21-20,8-33
GSW,2009,25.11111111111111,2.928337992563838,20.0,31.0,4.944444444444445,3.9922310174552806,12,12.994444444444445,19.1,4.612575167214363,32.0,1.7777777777777777,0.03911111111111111,5.3,0.29444444444444445,-3.2777777777777777,495.3888888888889,191.61111111111111,95.77777777777777,43.44444444444444,18,4,13.692307692307692,0,1610612744.0,26.0,56.0,0.317,18-23,8-33
GSW,2010,28.142857142857142,5.615030848407819,21.0,46.0,8.142857142857142,8.296298658351892,30,14.514285714285714,21.3,4.230872925802159,33.2,1.580952380952381,0.08642857142857142,6.4,0.3047619047619048,-1.2142857142857142,442.23809523809524,155.23809523809524,90.71428571428571,35.57142857142857,21,4,10.833333333333334,3,1610612744.0,36.0,46.0,0.439,26-15,10-31
GSW,2011,30.05263157894737,10.890738594535403,23.0,69.0,8.842105263157896,8.73856813782528,32,13.410526315789474,19.4,3.687048614458469,46.2,2.431578947368421,0.06936842105263158,9.0,0.47368421052631576,-2.210526315789474,548.3157894736842,223.94736842105263,115.84210526315789,51.89473684210526,19,3,9.4,0,1610612744.0,23.0,43.0,0.348,12-21,11-22
GSW,2012,28.5,9.974968671630002,21.0,70.0,6.090909090909091,4.8883641329287135,16,13.695454545454545,21.2,4.85332260000716,31.5,1.4318181818181819,0.07200000000000001,6.5,0.29545454545454547,-2.3045454545454547,348.6363636363636,144.4090909090909,74.36363636363636,35.31818181818182,22,2,11.5,1,1610612744.0,47.0,35.0,0.573,28-13,19-22
GSW,2013,28.764705882352942,11.39917437670765,21.0,71.0,5.823529411764706,5.150671001404175,16,12.352941176470589,21.3,4.759742331137636,54.099999999999994,3.1823529411764704,0.07841176470588235,15.2,0.8941176470588235,-1.9,573.8235294117648,268.94117647058823,124.94117647058823,58.35294117647059,17,3,10.1875,1,1610612744.0,51.0,31.0,0.622,27-14,24-17
GSW,2014,29.57894736842105,10.940829693673368,22.0,72.0,7.2105263157894735,5.977540811407881,19,12.221052631578948,24.3,7.8420220569391725,61.5,3.236842105263158,0.07905263157894737,18.0,0.9473684210526315,-2.6578947368421053,516.1052631578947,229.3684210526316,108.36842105263158,48.36842105263158,19,2,14.176470588235293,2,1610612744.0,67.0,15.0,0.8170000000000001,39-2,28-13
GSW,2015,31.0,12.005950905399255,23.0,73.0,7.75,6.082762530298219,20,15.60625,28.0,5.614441943179511,70.0,4.375,0.1449375,23.1,1.44375,0.7687499999999999,587.75,245.25,145.8125,59.3125,16,4,11.928571428571429,2,1610612744.0,73.0,9.0,0.89,39-2,34-7
GSW,2016,28.6,3.960519446450716,20.0,34.0,7.4375,4.366062299143245,14,15.65625,31.5,5.2006369802169425,67.8,4.2375,0.14825,22.8,1.425,0.012500000000000011,588.8125,236.75,148.3125,58.6875,16,3,12.428571428571429,1,1610612744.0,67.0,15.0,0.8170000000000001,36-5,31-10
GSW,2017,29.0,5.163977794943222,21.0,37.0,8.294117647058824,5.382433300589439,16,14.58235294117647,27.6,6.451863615859146,67.9,3.994117647058824,0.13305882352941176,23.6,1.3882352941176472,0.47058823529411764,559.0,214.35294117647058,146.47058823529412,56.8235294117647,17,3,12.357142857142858,3,1610612744.0,58.0,24.0,0.7070000000000001,29-12,29-12
