Player,season_start,REG_PER,REG_TS%,REG_USG%,REG_WS,REG_WS/48,REG_VORP,REG_BPM,REG_OBPM,REG_DBPM,POF_PER,POF_TS%,POF_USG%,POF_WS,POF_WS/48,POF_VORP,POF_BPM,POF_OBPM,POF_DBPM,team
Al Horford,2010,19.4,0.594,17.6,10.9,0.183,3.1,2.3,1.8,0.5,20.1,0.568,19.2,1.2,0.144,0.6,3.7,2.8,1.0,ATL
Al Horford,2011,20.7,0.587,19.7,10.1,0.179,3.9,3.6,2.5,1.1,13.3,0.458,17.3,0.7,0.07,0.2,0.0,-0.1,0.1,ATL
Al Horford,2012,19.0,0.585,17.9,1.3,0.18,0.5,3.4,1.8,1.5,17.5,0.613,22.0,0.3,0.128,0.1,2.9,-0.3,3.3,ATL
Al Horford,2013,19.8,0.56,21.8,8.8,0.153,2.7,1.9,1.3,0.6,19.1,0.527,22.6,0.6,0.136,0.3,3.6,2.3,1.3,ATL
Al Horford,2014,22.0,0.588,24.7,2.8,0.141,1.2,3.0,2.2,0.8,,,,,,,,,,ATL
Al Horford,2015,21.4,0.563,22.2,8.7,0.179,3.6,4.1,2.6,1.5,19.8,0.525,21.4,1.5,0.141,0.8,3.7,2.1,1.6,ATL
Al Horford,2016,19.4,0.565,20.6,9.4,0.172,3.9,3.8,2.2,1.6,17.5,0.545,19.2,0.9,0.127,0.5,3.7,0.9,2.8,ATL
Al Horford,2017,17.7,0.553,19.7,6.3,0.138,3.0,3.4,2.3,1.1,20.1,0.668,17.5,2.1,0.165,1.2,5.9,4.4,1.5,BOS
Al Horford,2018,17.6,0.575,18.4,7.8,0.165,3.7,4.4,2.4,2.0,20.1,0.631,18.3,2.7,0.192,1.1,4.4,2.1,2.3,BOS
Al Horford,2019,20.2,0.605,18.9,7.5,0.181,3.6,5.1,3.3,1.9,14.2,0.53,19.4,0.7,0.105,0.4,2.8,1.5,1.3,BOS
Al Horford,2020,15.7,0.536,17.5,5.4,0.128,2.2,2.2,1.3,1.0,10.7,0.499,10.5,0.1,0.049,0.0,-1.3,-1.8,0.4,PHI
Al Horford,2022,16.7,0.574,14.8,7.6,0.181,3.2,4.3,1.4,2.9,16.6,0.663,13.1,3.2,0.187,1.7,6.0,2.2,3.8,BOS
Al Horford,2023,13.8,0.631,11.9,6.3,0.157,2.5,3.3,1.6,1.7,12.8,0.497,10.6,1.5,0.118,0.7,2.8,-0.4,3.2,BOS
Al Jefferson,2005,16.6,0.554,21.2,2.7,0.123,-0.1,-2.3,-1.7,-0.6,16.6,0.465,18.1,0.4,0.147,0.1,0.5,0.7,-0.1,BOS
Al Jefferson,2006,16.2,0.53,21.6,2.3,0.105,0.0,-2.1,-1.7,-0.4,,,,,,,,,,BOS
Al Jefferson,2007,19.8,0.547,22.4,6.6,0.137,1.6,0.7,1.0,-0.3,,,,,,,,,,BOS
Al Jefferson,2008,22.7,0.535,27.5,7.7,0.127,2.6,1.6,2.8,-1.2,,,,,,,,,,MIN
Al Jefferson,2009,23.1,0.532,28.9,4.9,0.128,2.1,2.6,3.2,-0.6,,,,,,,,,,MIN
Al Jefferson,2010,19.0,0.524,24.3,4.6,0.09,1.5,0.4,0.7,-0.4,,,,,,,,,,MIN
Al Jefferson,2011,20.1,0.528,24.2,7.8,0.128,1.9,0.6,1.6,-1.0,,,,,,,,,,UTA
Al Jefferson,2012,22.8,0.52,25.7,7.5,0.173,3.0,3.7,3.5,0.2,21.1,0.523,23.0,0.3,0.101,0.3,6.1,4.1,2.0,UTA
Al Jefferson,2013,20.9,0.522,25.3,7.7,0.143,2.8,2.4,2.2,0.1,,,,,,,,,,UTA
Al Jefferson,2017,18.9,0.526,26.1,2.3,0.119,0.1,-1.4,-0.3,-1.1,,,,,,,,,,IND
Al Jefferson,2018,20.2,0.563,22.5,1.6,0.158,0.5,2.0,0.6,1.5,,,,,,,,,,IND
Al Thornton,2008,12.7,0.504,24.1,1.1,0.025,-0.8,-3.4,-1.9,-1.5,,,,,,,,,,LAC
