season,player_id,player_name,position,height_wo_shoes,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint,bench_press
2002,2443,Darius Songaila,PF,80.0,,240.0,85.0,108.5,,,,24.5,29.5,11.69,3.52,8.0
2002,2405,Amar'e Stoudemire,PF,80.5,,233.0,85.75,108.5,,,,32.0,35.5,11.19,3.25,12.0
2002,2445,Marcus Taylor,PG,73.0,,181.0,76.5,98.5,,,,27.5,33.5,11.25,3.31,4.0
2002,12297,Jobey Thomas,SG,74.75,,183.0,77.75,99.5,,,,26.0,32.0,11.46,3.3,13.0
2002,2402,Dajuan Wagner,PG-SG,72.75,,193.0,74.0,99.0,,,,28.0,35.0,12.03,3.22,16.0
2002,2404,Chris Wilcox,PF-C,80.25,,218.0,85.0,107.5,,,,31.0,34.5,11.43,3.16,20.0
2002,2421,Frank Williams,PG,73.5,,212.0,80.0,100.5,,,,26.0,31.0,11.73,3.29,
2002,2465,George Williams,PF-SF,77.75,,214.0,84.5,103.0,,,,33.5,39.0,11.21,3.24,11.0
2002,2398,Jay Williams,PG,72.25,,197.0,75.5,97.0,,,,28.5,36.0,10.34,3.09,10.0
2002,2417,Qyntel Woods,SF-SG,79.0,,213.0,82.0,105.0,,,,33.5,34.5,11.94,3.23,2.0
2002,2428,Vincent Yarbrough,SF,77.5,,202.0,84.5,104.5,,,,30.0,34.0,11.7,3.32,10.0
2003,200995,Aloysius Anagonye,PF,78.75,,257.0,86.5,106.0,10.5,,,31.0,34.5,12.93,3.3,6.0
2003,12072,Rick Anderson,SF-PF,80.25,,216.0,83.0,106.5,9.9,,,26.0,30.5,11.23,3.4,6.0
2003,2546,Carmelo Anthony,SF,78.25,,233.0,84.0,105.5,8.0,,,30.5,33.5,11.4,3.15,7.0
2003,2602,Jerome Beasley,SF-PF,81.0,,237.0,84.5,107.0,9.9,,,27.0,32.0,11.36,3.25,10.0
2003,2559,Troy Bell,PG,72.25,,178.0,77.0,97.5,5.3,,,34.5,41.0,10.89,3.06,17.0
2003,12073,LaVell Blanchard,SF,78.0,,205.0,78.0,101.5,11.7,,,33.5,36.5,11.64,3.38,12.0
