Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Season
129,Jonathan Kuminga,PF,23,ATL,6,156,14.6,.574,.400,.433,4.1,11.3,7.4,6.7,1.0,1.7,7.7,22.0,,0.2,-0.1,0.1,.035,,-0.6,-0.7,-1.4,0.0,2026
130,Chaz Lanier,SG,24,DET,3,8,4.2,.333,.333,.000,0.0,0.0,0.0,19.3,0.0,0.0,0.0,16.4,,0.0,0.0,0.0,-0.043,,-3.9,-1.7,-5.6,0.0,2026
131,Jake LaRavia,PF,24,LAL,8,114,5.5,.439,.259,.222,9.9,8.3,9.1,7.8,1.8,4.9,27.1,16.3,,-0.2,0.1,-0.1,-0.054,,-5.9,0.3,-5.6,-0.1,2026
132,A.J. Lawson,SG,25,TOR,7,51,0.9,.355,.500,.125,0.0,6.9,3.4,10.5,0.0,4.2,10.6,15.8,,-0.1,0.0,-0.1,-0.089,,-7.6,-1.4,-9.0,-0.1,2026
133,Caris LeVert,SG,31,DET,13,216,12.6,.555,.415,.154,3.2,12.1,7.7,11.6,1.9,2.9,10.3,15.7,,0.2,0.3,0.5,.110,,-0.9,2.6,1.7,0.2,2026
134,Kyle Lowry,PG,39,PHI,2,3,-0.6,,,,0.0,38.7,19.2,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.029,,-14.1,6.0,-8.1,0.0,2026
135,Khaman Maluach,C,19,PHO,4,45,2.6,.500,.125,.000,5.0,18.1,11.4,0.0,0.0,0.0,27.3,10.6,,-0.1,-0.1,-0.1,-0.127,,-6.2,-2.3,-8.6,-0.1,2026
136,Sandro Mamukelashvili,C,26,TOR,7,104,13.7,.460,.400,.200,11.9,26.9,19.3,9.7,2.4,3.1,9.5,17.3,,0.0,0.2,0.2,.074,,-1.6,0.8,-0.8,0.0,2026
137,Tyrese Maxey,PG,25,PHI,11,437,18.6,.562,.351,.227,1.0,10.6,5.8,26.8,1.1,1.0,9.0,26.7,,0.7,-0.1,0.6,.069,,3.4,-0.6,2.8,0.5,2026
138,Miles McBride,SG,25,NYK,15,287,9.9,.545,.767,.089,3.1,5.3,4.3,8.9,1.4,1.5,7.0,15.4,,0.4,0.4,0.8,.131,,-1.0,0.3,-0.7,0.1,2026
139,Jared McCain,SG,21,OKC,15,258,13.2,.526,.515,.110,4.1,8.3,6.3,9.1,1.0,0.0,7.2,26.1,,0.1,0.1,0.2,.045,,0.0,-1.7,-1.7,0.0,2026
140,CJ McCollum,PG,34,ATL,6,192,12.6,.525,.333,.242,3.9,7.2,5.4,12.0,1.6,3.3,16.1,30.2,,-0.4,0.0,-0.4,-0.104,,-1.3,-1.5,-2.7,0.0,2026
141,Jaden McDaniels,PF,25,MIN,12,406,12.9,.512,.239,.199,7.0,11.3,9.1,11.2,0.7,1.8,8.2,21.3,,0.3,0.2,0.5,.058,,-1.1,0.4,-0.7,0.1,2026
142,Jordan McLaughlin,PG,29,SAS,10,46,22.0,.800,.455,.182,4.9,13.4,9.3,32.1,2.1,0.0,14.4,12.9,,0.2,0.1,0.3,.298,,5.0,4.9,9.9,0.1,2026
143,Sam Merrill,SG,29,CLE,17,338,11.0,.617,.813,.260,2.8,4.5,3.7,8.7,1.2,0.0,7.8,15.1,,0.6,0.1,0.7,.100,,0.0,-0.3,-0.3,0.1,2026
144,Ajay Mitchell,SG,23,OKC,11,317,18.6,.553,.292,.219,4.9,10.0,7.5,22.6,2.7,0.3,9.1,22.8,,0.7,0.3,1.0,.146,,0.6,1.1,1.8,0.3,2026
145,Donovan Mitchell,SG,29,CLE,18,652,18.5,.558,.412,.243,2.7,13.0,7.9,16.7,1.6,0.7,10.1,31.5,,0.8,0.4,1.2,.091,,2.9,-0.9,2.0,0.7,2026
146,Evan Mobley,PF,24,CLE,18,640,19.3,.609,.333,.408,6.8,19.9,13.4,18.6,1.3,4.4,14.0,20.1,,1.3,0.6,1.9,.143,,2.8,2.6,5.4,1.2,2026
147,Jonathan Mogbo,PF,24,TOR,3,4,33.6,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,,0.0,0.0,0.0,.298,,5.1,2.4,7.5,0.0,2026
148,Jamal Murray,PG,28,DEN,6,238,14.8,.484,.326,.310,3.3,10.7,7.1,25.3,1.0,0.7,8.1,29.6,,-0.1,0.1,0.0,.010,,1.9,-2.8,-0.8,0.1,2026
149,Kris Murray,SF,25,POR,5,25,-1.3,.512,.500,.500,4.2,9.8,6.8,0.0,0.0,0.0,38.1,13.6,,-0.1,0.0,-0.1,-0.157,,-9.1,-1.8,-10.9,-0.1,2026
150,Collin Murray-Boyles,PF,20,TOR,7,191,23.1,.685,.047,.344,12.4,14.7,13.5,14.7,2.3,4.5,15.0,19.4,,0.6,0.2,0.8,.191,,2.4,3.2,5.6,0.4,2026
151,Larry Nance Jr.,PF,33,CLE,2,5,-10.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.8,,0.0,0.0,0.0,-0.305,,-11.1,-4.4,-15.5,0.0,2026
152,Asa Newell,PF,20,ATL,2,11,13.0,.500,.000,.000,0.0,0.0,0.0,13.6,4.5,8.2,0.0,8.1,,0.0,0.0,0.0,.068,,-1.5,4.9,3.4,0.0,2026
153,Zeke Nnaji,PF,25,DEN,2,19,25.0,1.078,.500,3.000,6.0,11.7,8.9,8.1,2.6,0.0,0.0,10.8,,0.1,0.0,0.1,.374,,7.0,5.4,12.4,0.1,2026
154,Royce O'Neale,SF,32,PHO,4,97,16.0,.931,.929,.429,4.6,25.2,14.7,13.1,1.0,1.0,19.4,9.2,,0.3,-0.1,0.2,.119,,2.8,2.3,5.1,0.2,2026
155,Josh Okogie,SG,27,HOU,6,104,11.6,.560,.520,.080,6.2,9.9,7.9,7.8,3.5,0.0,10.4,12.3,,0.1,0.1,0.2,.114,,-2.9,2.3,-0.6,0.0,2026
156,Onyeka Okongwu,C,25,ATL,6,199,16.2,.704,.458,.250,4.3,20.2,11.7,11.4,1.7,2.3,11.6,13.5,,0.4,0.0,0.4,.108,,1.0,1.9,2.9,0.2,2026
157,Kelly Olynyk,C,34,SAS,9,35,23.5,.691,.533,.467,0.0,20.6,10.7,14.3,5.6,0.0,18.1,27.0,,0.0,0.1,0.1,.196,,3.7,5.3,9.0,0.1,2026
158,Kelly Oubre Jr.,SF,30,PHI,11,364,11.3,.543,.368,.255,3.8,16.6,10.1,5.1,0.7,1.5,6.4,15.8,,0.2,0.0,0.2,.031,,-1.5,-0.1,-1.7,0.0,2026
159,Noah Penda,SF,21,ORL,1,3,4.5,,,,0.0,37.6,18.1,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.082,,-5.2,0.8,-4.4,0.0,2026
160,Julian Phillips,SF,22,MIN,5,25,8.1,.500,.667,.000,0.0,4.5,2.1,10.7,3.8,0.0,14.3,11.6,,0.0,0.0,0.0,.032,,-1.6,2.3,0.6,0.0,2026
161,Jalen Pickett,SG,26,DEN,2,4,13.1,.568,,,0.0,0.0,0.0,33.0,0.0,0.0,0.0,9.7,,0.0,0.0,0.0,.141,,2.9,1.8,4.7,0.0,2026
162,Mason Plumlee,C,35,SAS,6,18,12.7,.667,.000,.000,0.0,22.9,11.9,15.5,0.0,14.7,25.0,9.5,,0.0,0.0,0.1,.144,,-4.0,7.2,3.1,0.0,2026
163,Jakob Poeltl,C,30,TOR,7,134,18.3,.659,.000,.452,10.1,26.1,18.0,11.0,2.2,4.8,13.9,13.8,,0.3,0.2,0.5,.174,,-0.6,3.1,2.5,0.2,2026
164,Craig Porter Jr.,PG,25,CLE,7,21,-2.5,.333,.333,.000,0.0,16.9,8.4,26.5,0.0,0.0,57.1,14.7,,-0.1,0.0,-0.1,-0.216,,-8.8,-2.4,-11.2,0.0,2026
165,Payton Pritchard,PG,28,BOS,7,231,15.9,.534,.598,.087,4.2,8.2,6.1,24.9,0.7,0.0,5.0,19.2,,0.5,0.2,0.7,.143,,2.3,-0.3,2.0,0.2,2026
166,Tyrese Proctor,PG,21,CLE,4,13,-2.5,.347,1.000,1.000,0.0,9.1,4.5,20.1,0.0,0.0,41.0,16.5,,-0.1,0.0,-0.1,-0.190,,-9.4,-4.8,-14.3,0.0,2026
167,Neemias Queta,C,26,BOS,7,152,19.4,.767,.000,.559,8.4,35.3,21.5,4.2,0.3,3.6,12.4,14.1,,0.5,0.3,0.7,.230,,-1.4,2.5,1.2,0.1,2026
168,Julius Randle,PF,31,MIN,12,400,10.6,.479,.238,.378,7.7,16.8,12.0,12.8,0.7,0.2,14.5,24.4,,-0.4,0.2,-0.1,-0.015,,-2.5,-1.4,-3.8,-0.2,2026
169,Austin Reaves,SG,27,LAL,6,221,12.5,.546,.385,.473,1.7,11.3,6.6,27.0,0.0,2.9,19.7,28.3,,0.0,0.1,0.0,.007,,0.0,-1.7,-1.7,0.0,2026
170,Paul Reed,C,26,DET,9,86,33.5,.709,.119,.286,24.1,23.9,24.0,13.0,0.6,7.2,12.9,27.6,,0.4,0.1,0.5,.293,,7.1,2.2,9.3,0.2,2026
171,Naz Reid,C,26,MIN,12,323,14.6,.583,.451,.139,4.4,25.7,14.6,12.0,0.7,1.1,11.0,18.7,,0.3,0.3,0.6,.092,,0.4,1.7,2.1,0.3,2026
172,Jase Richardson,SG,20,ORL,1,3,83.1,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,0.0,0.0,0.0,.441,,57.5,12.6,70.1,0.1,2026
173,Zaccharie Risacher,SF,20,ATL,3,23,12.2,.393,.357,.000,18.8,27.3,22.7,0.0,0.0,0.0,0.0,27.0,,0.0,0.0,0.0,-0.085,,-0.9,-6.0,-6.9,0.0,2026
174,Duncan Robinson,SG,31,DET,13,383,13.3,.632,.789,.158,1.2,8.0,4.6,12.2,2.3,0.8,9.6,15.4,,0.7,0.4,1.1,.138,,1.3,2.6,3.9,0.6,2026
175,Mitchell Robinson,C,27,NYK,14,197,18.9,.598,.000,1.100,21.3,24.4,23.0,2.7,1.5,4.3,9.2,14.6,,0.4,0.5,0.9,.219,,0.5,0.5,1.0,0.1,2026
176,Marcus Sasser,PG,25,DET,6,61,14.3,.587,.609,.000,5.7,3.7,4.7,8.3,2.5,0.0,8.0,17.9,,0.1,0.1,0.1,.114,,1.0,1.4,2.4,0.1,2026
177,Baylor Scheierman,SG,25,BOS,7,99,13.8,.577,.808,.000,7.5,14.7,11.0,5.9,3.1,0.9,7.1,12.5,,0.1,0.2,0.3,.143,,0.0,2.9,2.9,0.1,2026
178,Dennis SchrÃ¶der,PG,32,CLE,17,271,8.6,.497,.393,.286,1.7,9.2,5.4,23.3,1.1,1.0,20.2,19.2,,-0.1,0.1,0.0,-0.006,,-2.9,-0.7,-3.6,-0.1,2026
179,Alperen ÅengÃ¼n,C,23,HOU,6,232,19.9,.519,.081,.424,9.8,22.3,15.5,23.1,2.5,3.3,13.3,25.8,,0.2,0.4,0.6,.120,,1.5,1.6,3.1,0.3,2026
180,Landry Shamet,SG,28,NYK,15,222,12.5,.776,.732,.161,1.7,4.4,3.2,5.4,0.9,0.0,11.8,13.5,,0.5,0.3,0.8,.175,,0.6,1.0,1.6,0.2,2026
181,Terrence Shannon Jr.,SG,25,MIN,9,203,11.3,.507,.340,.255,2.5,10.0,6.1,9.2,0.9,0.0,7.1,23.0,,0.0,0.1,0.1,.032,,-2.4,-0.2,-2.5,0.0,2026
182,Shaedon Sharpe,SG,22,POR,5,67,14.9,.480,.324,.235,4.7,9.1,6.7,8.3,1.5,2.7,0.0,24.2,,0.0,0.0,0.1,.042,,1.1,0.1,1.2,0.1,2026
183,Jamal Shead,PG,23,TOR,7,224,7.7,.466,.646,.092,1.5,5.7,3.6,21.6,2.2,0.5,17.1,15.6,,-0.1,0.1,0.0,-0.002,,-4.0,0.2,-3.8,-0.1,2026
184,Reed Sheppard,SG,21,HOU,6,192,9.0,.407,.614,.045,0.6,3.4,1.8,25.2,3.5,2.5,11.8,23.4,,-0.3,0.3,-0.1,-0.017,,-2.1,0.6,-1.5,0.0,2026
185,Max Shulga,SG,23,BOS,2,5,14.5,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,,0.0,0.0,0.0,.162,,2.6,0.4,2.9,0.0,2026
186,Marcus Smart,SG,31,LAL,10,345,13.2,.547,.505,.434,3.6,8.6,6.2,23.0,3.6,2.7,22.9,20.2,,0.0,0.4,0.3,.048,,-1.1,2.8,1.8,0.3,2026
187,Jabari Smith Jr.,PF,22,HOU,6,252,14.2,.544,.600,.306,5.1,20.0,11.9,7.4,1.2,1.5,5.9,17.9,,0.4,0.3,0.7,.128,,0.3,-0.1,0.2,0.1,2026
188,Nick Smith Jr.,SG,21,LAL,6,18,23.0,.538,.500,.143,0.0,6.6,3.4,13.2,2.9,5.2,6.3,40.2,,0.0,0.0,0.0,.014,,6.3,0.3,6.5,0.0,2026
189,Tolu Smith,PF,25,DET,3,7,26.3,1.000,.000,.000,0.0,32.6,16.4,0.0,7.3,0.0,33.3,18.7,,0.0,0.0,0.0,.138,,3.2,6.7,9.9,0.0,2026
190,Jeremy Sochan,PF,22,NYK,5,23,37.7,.868,.250,1.000,5.5,19.0,12.8,14.7,2.2,4.6,8.0,24.0,,0.2,0.1,0.2,.446,,9.4,4.8,14.1,0.1,2026
191,Isaiah Stewart,C,24,DET,14,165,12.6,.675,.235,.500,9.1,14.5,11.8,2.8,0.3,8.8,17.8,13.4,,0.2,0.2,0.4,.130,,-3.7,2.3,-1.3,0.0,2026
192,Julian Strawther,SG,23,DEN,2,18,-2.0,.381,.429,.286,6.3,12.3,9.4,0.0,0.0,0.0,20.2,24.3,,-0.1,0.0,-0.1,-0.237,,-7.0,-4.4,-11.5,0.0,2026
193,Max Strus,SF,29,CLE,18,481,12.1,.579,.768,.174,6.9,14.5,10.7,12.1,1.6,0.7,13.9,15.8,,0.6,0.3,0.9,.093,,0.3,0.6,0.9,0.3,2026
194,Jalen Suggs,PG,24,ORL,7,248,6.4,.419,.621,.161,2.1,10.5,6.1,20.0,2.6,1.5,18.4,20.0,,-0.6,0.4,-0.2,-0.039,,-4.3,0.4,-3.8,-0.1,2026
195,Jae'Sean Tate,SF,30,HOU,5,30,10.7,.396,.400,.600,21.6,17.2,19.6,0.0,1.7,0.0,0.0,18.6,,0.0,0.0,0.1,.092,,-5.7,-1.8,-7.5,0.0,2026
196,Jayson Tatum,PF,27,BOS,6,218,24.0,.608,.515,.317,2.9,29.7,16.0,32.7,1.6,0.0,12.9,26.8,,0.6,0.3,1.0,.212,,5.5,3.5,8.9,0.6,2026
197,Garrett Temple,SG,39,TOR,2,2,-3.1,.000,.000,.000,0.0,0.0,0.0,60.5,0.0,0.0,0.0,21.4,,0.0,0.0,0.0,-0.316,,-9.0,-4.6,-13.5,0.0,2026
198,Dalen Terry,SG,23,PHI,7,39,13.1,.404,.385,.538,0.0,11.9,5.9,26.7,6.6,0.0,11.1,21.2,,-0.1,0.0,0.0,-0.015,,-1.8,3.6,1.8,0.0,2026
199,Adou Thiero,SF,21,LAL,6,34,6.5,.521,.333,1.000,18.4,24.4,21.5,4.4,0.0,0.0,31.6,17.0,,0.0,0.0,0.0,-0.036,,-5.9,-3.2,-9.1,-0.1,2026
200,Amen Thompson,PG,23,HOU,6,264,17.8,.553,.093,.477,6.1,13.2,9.4,23.0,2.4,2.6,12.6,19.9,,0.4,0.4,0.8,.139,,0.5,1.7,2.3,0.3,2026
201,Ausar Thompson,SF,23,DET,14,427,16.5,.520,.072,.320,12.1,17.3,14.7,15.6,3.3,6.1,17.2,13.7,,0.4,0.9,1.2,.138,,0.3,5.0,5.3,0.8,2026
202,Matisse Thybulle,SG,28,POR,4,53,5.9,.235,.786,.143,2.0,16.2,8.5,10.7,2.8,5.1,0.0,12.1,,-0.1,0.1,-0.1,-0.049,,-5.8,3.1,-2.7,0.0,2026
203,Nae'Qwan Tomlin,PF,25,CLE,7,19,23.3,.654,.000,.333,24.8,6.2,15.5,18.9,2.7,0.0,12.7,18.2,,0.1,0.0,0.1,.220,,3.9,1.1,5.0,0.0,2026
204,Nikola TopiÄ,PG,20,OKC,9,22,4.9,.333,.333,.000,0.0,10.3,5.3,17.9,4.6,0.0,25.0,15.9,,-0.1,0.0,0.0,-0.082,,-8.3,2.0,-6.3,0.0,2026
205,Karl-Anthony Towns,C,30,NYK,15,458,26.6,.697,.307,.444,11.1,28.7,20.6,26.5,1.9,4.6,17.6,21.3,,2.0,1.2,3.2,.336,,5.3,6.0,11.3,1.6,2026
206,Jaylon Tyson,SG,23,CLE,17,216,8.9,.456,.551,.217,7.1,18.6,12.8,15.6,0.7,0.4,12.7,17.6,,0.0,0.1,0.1,.022,,-2.2,-0.7,-2.9,0.0,2026
207,Jonas ValanÄiÅ«nas,C,33,DEN,4,25,6.3,.698,.000,.286,13.7,26.6,20.2,7.2,0.0,3.3,38.8,22.8,,-0.1,0.0,0.0,-0.050,,-12.3,-1.7,-14.1,-0.1,2026
208,Jarred Vanderbilt,PF,26,LAL,7,75,8.5,.429,.409,.136,8.4,30.0,19.5,4.2,1.4,0.0,4.1,14.8,,0.0,0.1,0.1,.040,,-5.0,-0.9,-6.0,-0.1,2026
209,Devin Vassell,SG,25,SAS,19,645,13.0,.535,.582,.150,3.1,12.6,8.1,11.4,2.0,2.0,8.1,16.4,,0.6,1.0,1.7,.125,,0.4,2.2,2.5,0.7,2026
210,Gabe Vincent,PG,29,ATL,6,93,7.3,.537,.818,.227,3.5,0.0,1.9,11.2,1.1,1.0,11.0,13.0,,0.0,-0.1,0.0,-0.011,,-2.7,-0.7,-3.3,0.0,2026
211,Nikola VuÄeviÄ,C,35,BOS,6,114,9.1,.477,.649,.108,4.7,20.6,12.4,18.3,0.4,2.4,17.1,18.1,,-0.1,0.1,0.1,.033,,-3.4,1.9,-1.6,0.0,2026
212,Dean Wade,PF,29,CLE,18,407,9.1,.596,.738,.046,7.0,13.4,10.2,5.0,1.6,0.2,13.1,8.2,,0.4,0.2,0.6,.071,,-0.3,0.8,0.5,0.2,2026
213,Franz Wagner,SF,24,ORL,4,122,20.1,.527,.158,.263,3.4,16.6,9.8,23.6,4.5,0.8,8.6,24.8,,0.1,0.3,0.4,.145,,2.6,4.6,7.2,0.3,2026
214,Moritz Wagner,C,28,ORL,2,13,4.9,.512,.250,.500,8.0,17.3,12.5,0.0,0.0,0.0,17.0,19.7,,0.0,0.0,0.0,.017,,-6.0,-4.4,-10.5,0.0,2026
215,Jabari Walker,PF,23,PHI,6,29,-5.1,.184,.500,.200,7.9,16.0,11.9,0.0,0.0,0.0,8.4,18.7,,-0.2,0.0,-0.2,-0.285,,-11.4,-7.5,-18.8,-0.1,2026
216,Cason Wallace,SG,22,OKC,15,374,17.6,.648,.646,.083,6.3,11.2,8.8,13.2,4.3,1.9,10.0,12.9,,0.9,0.6,1.4,.185,,2.0,5.4,7.4,0.9,2026
217,Keaton Wallace,PG,26,ATL,3,15,12.1,.338,.375,.250,0.0,25.2,11.6,31.9,3.3,0.0,0.0,26.3,,0.0,0.0,0.0,-0.077,,-4.2,0.6,-3.6,0.0,2026
218,Jordan Walsh,PF,21,BOS,7,89,7.5,.277,.632,.316,7.2,15.1,11.0,10.5,2.3,2.1,0.0,10.8,,-0.1,0.1,0.1,.040,,-3.9,1.6,-2.2,0.0,2026
219,Ja'Kobe Walter,SG,21,TOR,7,224,11.0,.540,.776,.179,1.0,10.4,5.6,6.2,3.1,1.0,5.2,14.6,,0.2,0.2,0.4,.080,,-1.9,2.1,0.2,0.1,2026
220,Lindy Waters III,SG,28,SAS,9,34,18.3,.577,.615,.000,9.9,9.1,9.5,18.0,2.9,0.0,7.1,17.6,,0.1,0.1,0.1,.197,,2.0,2.9,4.9,0.1,2026
221,Trendon Watford,PF,25,PHI,7,40,19.6,.689,.091,.727,0.0,8.7,4.3,12.5,3.8,0.0,12.1,18.9,,0.1,0.0,0.1,.135,,2.5,1.8,4.3,0.1,2026
222,Victor Wembanyama,C,22,SAS,18,590,26.8,.624,.321,.457,7.6,27.0,17.7,13.7,1.4,9.4,13.4,28.1,,1.6,1.5,3.1,.250,,5.3,4.1,9.4,1.7,2026
223,Blake Wesley,SG,22,POR,4,5,-5.6,.568,,,0.0,0.0,0.0,0.0,0.0,0.0,53.2,16.2,,0.0,0.0,0.0,-0.273,,-11.2,-5.8,-16.9,0.0,2026
224,Derrick White,SG,31,BOS,7,251,9.1,.450,.679,.160,4.2,5.8,5.0,12.7,1.2,3.7,11.3,17.2,,-0.1,0.3,0.2,.035,,-1.8,0.2,-1.6,0.0,2026
225,Aaron Wiggins,SG,27,OKC,13,75,2.7,.380,.360,.000,1.6,6.0,3.9,9.1,0.7,1.3,13.8,16.9,,-0.2,0.0,-0.1,-0.095,,-5.2,-0.8,-6.0,-0.1,2026
226,Amari Williams,PF,24,BOS,1,2,11.7,.266,.000,2.000,53.3,0.0,27.3,0.0,0.0,0.0,0.0,41.6,,0.0,0.0,0.0,-0.143,,0.8,-17.8,-17.0,0.0,2026
227,Jalen Williams,SG,24,OKC,5,107,23.2,.587,.214,.214,5.5,11.7,8.7,22.5,2.3,1.9,8.9,27.5,,0.3,0.1,0.4,.167,,4.8,2.0,6.8,0.2,2026
228,Jaylin Williams,PF,23,OKC,15,240,12.2,.547,.769,.092,3.5,26.0,15.0,12.3,1.7,1.2,8.1,13.4,,0.3,0.3,0.6,.123,,-0.7,2.2,1.5,0.2,2026
229,Kenrich Williams,PF,31,OKC,11,72,15.3,.519,.613,.129,9.9,22.0,16.1,12.1,0.7,0.0,5.8,21.1,,0.1,0.1,0.2,.125,,1.5,0.3,1.8,0.1,2026
230,Robert Williams,C,28,POR,5,108,26.3,.661,.257,.086,15.5,23.8,19.3,22.2,1.4,5.0,5.2,15.3,,0.4,0.1,0.5,.232,,7.3,3.5,10.8,0.4,2026
